Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E6H1-2,9000,50,46,305,275,20.55221843,819.669885,130.5565,0.2453,0.2504
E6H1-3,9000,43,53,286,294,19.45686493,819.870758,129.38863,0.2439,0.2573
E6H1-4,9001,41,54,289,291,20.92319845,822.580911,128.83084,0.2394,0.2499
E6H2-1,8903,89,104,313,267,19.65247199,812.540486,127.21008,0.2415,0.2507
E6H2-2,8907,92,97,295,285,19.67244009,812.204114,126.84772,0.2406,0.252
E6H2-3,8903,93,100,286,294,19.080847,814.026142,127.1324,0.2438,0.2628
E6H2-4,8903,101,92,296,284,19.51377664,811.450239,127.22629,0.2425,0.2607
E6H3-1,8811,145,140,285,295,18.64839467,802.742756,125.61341,0.2452,0.2611
E6H3-2,8806,150,140,314,266,18.71255909,799.363915,123.72637,0.2367,0.2637
E6H3-3,8808,148,140,293,287,18.80495798,798.822954,125.21109,0.2478,0.259
E6H3-4,8807,144,145,310,270,18.15376231,804.023601,125.78572,0.2401,0.2643
E6H4-1,8720,189,187,294,286,17.7657757,793.516786,124.32454,0.2451,0.2555
E6H4-2,8713,176,207,286,294,17.8883914,795.128177,124.25781,0.2423,0.2706
E6H4-3,8715,184,197,283,297,17.63928675,791.771031,123.28002,0.239,0.2547
E6H4-4,8713,190,193,297,283,18.16626685,785.908139,123.73752,0.245,0.2609
E6H5-1,8622,246,228,300,280,16.84937582,777.30571,123.70384,0.252,0.2682
E6H5-2,8617,268,211,286,294,17.35294758,782.349284,122.31829,0.2454,0.2536
E6H5-3,8619,219,258,306,274,17.55036749,785.860464,123.22203,0.2433,0.2563
E6H5-4,8619,237,240,291,289,16.89560721,771.903657,123.24688,0.2685,0.27
E6H6-1,8528,275,293,311,269,16.78621118,769.211259,121.74276,0.2441,0.2593
E6H6-2,8528,289,279,311,269,16.71437615,756.906067,122.07277,0.2504,0.2758
E6H6-3,8533,304,259,300,280,17.21638941,773.815747,122.14461,0.2446,0.2518
E6H6-4,8529,274,293,293,287,16.32944231,767.304,124.19026,0.2759,0.2785
E6H7-1,8439,336,321,271,309,16.08317565,763.188149,121.16559,0.2529,0.2809
E6H7-2,8426,318,352,292,288,16.15331633,763.01749,121.46996,0.2462,0.2603
E6H7-3,8432,339,325,301,279,16.40904268,751.178816,119.40218,0.2518,0.2674
E6H7-4,8431,349,316,299,281,15.49690211,754.35827,120.97654,0.2636,0.271
E6H8-1,8337,371,388,283,297,15.09730642,748.063364,120.69607,0.2569,0.2641
E6H8-2,8343,386,367,284,296,15.96946006,753.514652,121.11879,0.2755,0.2803
E6H8-3,8334,373,389,293,287,15.11916895,743.912294,120.5616,0.2598,0.2693
E6H8-4,8338,383,375,292,288,14.8776316,743.298409,120.66603,0.2572,0.2672
E6H9-1,8248,427,421,295,285,15.06773764,727.721591,119.08878,0.2678,0.2725
E6H9-2,8240,437,419,290,290,14.88583657,717.886331,119.59595,0.2693,0.2716
E6H9-3,8248,419,429,290,290,15.27645997,730.514542,117.83872,0.2478,0.2649
E6H9-4,8256,420,420,289,291,14.78337699,733.343036,119.93075,0.2672,0.2737
E6H10-1,8156,490,450,285,295,14.42450806,726.32733,118.91808,0.2741,0.2926
E6H10-2,8147,442,507,282,298,15.24383292,719.913697,120.27492,0.2798,0.2837
E6H10-3,8148,482,466,269,311,14.34452434,721.047484,120.58057,0.2952,0.3078
E6H10-4,8152,487,457,275,305,14.81202352,723.799481,118.87944,0.2838,0.2879
E7H1-1,8903,56,40,325,352,18.79975819,810.240394,128.44039,0.2536,0.2542
E7H1-2,8904,51,44,349,328,18.4905355,811.934779,127.54669,0.2415,0.2597
E7H1-3,8904,52,43,334,343,18.70783683,812.85055,126.32397,0.2372,0.2451
E7H1-4,8904,53,42,319,358,18.01600956,809.730731,127.68702,0.2407,0.252
E7H2-1,8807,85,107,315,362,17.92331285,797.008701,126.21751,0.25,0.2554
E7H2-2,8807,92,100,358,319,17.95107876,796.782301,125.79856,0.2453,0.2573
E7H2-3,8807,107,85,350,327,17.49051662,804.053477,125.86689,0.2478,0.2504
E7H2-4,8810,103,86,344,333,16.94773888,793.462226,125.44454,0.2436,0.2544
E7H3-1,8714,155,130,356,321,16.90974858,794.290282,124.28989,0.2409,0.2606
E7H3-2,8709,149,141,323,354,17.08876595,790.554957,125.06318,0.247,0.2687
E7H3-3,8711,141,147,330,347,16.56113798,787.646394,124.78103,0.2486,0.2561
E7H3-4,8710,130,159,341,336,16.76808339,785.763673,124.56193,0.2448,0.2497
E7H4-1,8619,186,194,349,328,16.23050982,779.207681,122.74294,0.2446,0.2784
E7H4-2,8618,184,197,340,337,16.27040328,775.051207,123.4627,0.2484,0.2553
E7H4-3,8616,199,184,354,323,15.94433767,774.765349,122.85679,0.246,0.2637
E7H4-4,8616,180,203,352,325,16.89663387,779.40747,121.9965,0.2407,0.2649
E7H5-1,8526,237,236,332,345,15.08528636,768.908807,121.63244,0.2611,0.2751
E7H5-2,8526,247,226,327,350,15.3188163,768.659983,122.21788,0.2673,0.2749
E7H5-3,8522,238,239,332,345,15.38650864,760.128557,122.86421,0.2558,0.2599
E7H5-4,8517,230,252,345,332,16.04752243,764.936547,123.64701,0.2617,0.2648
E7H6-1,8425,301,273,333,344,15.08972578,755.395887,121.37101,0.2616,0.2814
E7H6-2,8430,282,287,347,330,15.14512223,755.50039,120.39419,0.2526,0.2548
E7H6-3,8428,287,284,360,317,14.99710764,752.462283,121.96098,0.2751,0.2789
E7H6-4,8433,279,287,344,333,15.37262254,745.798121,119.56996,0.246,0.2613
E7H7-1,8336,311,352,347,330,14.68333341,753.118719,120.21767,0.2689,0.2752
E7H7-2,8332,325,342,338,339,14.98951162,744.715795,120.11253,0.2508,0.2727
E7H7-3,8337,312,350,343,334,14.52845494,750.146418,123.32597,0.2904,0.2922
E7H7-4,8334,337,328,321,356,14.89935091,742.840408,120.69921,0.2579,0.2727
E7H8-1,8238,366,395,348,329,14.50768815,736.386738,121.02531,0.2704,0.2767
E7H8-2,8239,355,405,350,327,15.05066737,735.596193,118.79184,0.257,0.272
E7H8-3,8238,384,377,337,340,14.04212064,731.505069,119.58848,0.259,0.2614
E7H8-4,8238,370,391,322,355,14.27734618,722.732918,119.50735,0.2573,0.2733
E7H9-1,8156,427,416,345,332,13.75456051,728.088651,118.81269,0.2967,0.3009
E7H9-2,8143,430,426,346,331,13.14749783,716.069105,119.3567,0.2961,0.2994
E7H9-3,8154,410,435,350,327,14.4322242,724.772327,118.17578,0.2755,0.2772
E7H9-4,8151,436,412,326,351,13.79619769,728.257945,117.8327,0.2563,0.2971
E7H10-1,8055,473,471,346,331,13.50673143,712.822634,118.04078,0.2768,0.2798
E7H10-2,8065,445,489,343,334,13.49286742,695.102824,120.13063,0.3115,0.3279
E7H10-3,8050,455,494,341,336,13.3208742,703.403783,120.89086,0.3057,0.3084
E7H10-4,8061,482,456,356,321,13.4596717,713.50993,117.27064,0.2837,0.2911
E8H1-1,8807,46,49,371,403,17.01714043,801.252153,126.11228,0.2437,0.2546
E8H1-2,8807,41,54,383,391,17.0653494,800.394726,125.8194,0.241,0.265
E8H1-3,8806,49,47,375,399,17.34172333,804.595912,126.98358,0.2418,0.2573
E8H1-4,8806,47,49,373,401,17.08402226,804.16318,124.78982,0.241,0.2456
E8H2-1,8711,97,94,385,389,16.41211651,792.074769,124.3793,0.2416,0.2618
E8H2-2,8709,88,105,386,388,16.63743482,789.994772,125.26747,0.2498,0.2642
E8H2-3,8710,88,104,390,384,16.13372003,783.148311,125.26302,0.2531,0.2617
E8H2-4,8709,110,83,378,396,15.85973708,788.030944,125.41413,0.2468,0.2564
E8H3-1,8612,145,145,384,390,15.77030536,777.340658,122.98088,0.2433,0.2589
E8H3-2,8615,134,153,393,381,15.91938913,781.190695,122.64014,0.2449,0.268
E8H3-3,8613,146,143,387,387,15.38918352,769.504055,123.26805,0.2425,0.2568
E8H3-4,8614,151,137,394,380,16.04747677,765.933005,125.407,0.2673,0.2707
E8H4-1,8519,198,185,389,385,14.83619876,767.757813,121.45749,0.2695,0.2766
E8H4-2,8519,187,196,370,404,14.43701387,766.659717,122.3861,0.2535,0.2674
E8H4-3,8521,190,191,402,372,15.10383466,765.500658,121.0346,0.2373,0.2404
E8H4-4,8518,196,188,377,397,15.20953525,770.947495,122.43676,0.2474,0.2595
E8H5-1,8425,253,224,379,395,14.83048535,756.5772,121.31367,0.2523,0.277
E8H5-2,8422,247,233,377,397,14.79102439,757.834005,119.68077,0.2445,0.2474
E8H5-3,8426,227,249,376,398,14.35,752.010544,121.8267,0.2673,0.2699
E8H5-4,8425,222,255,378,396,14.93499213,755.814593,120.61651,0.2549,0.2902
E8H6-1,8326,280,296,398,376,14.20293522,741.870839,121.44827,0.3063,0.3079
E8H6-2,8326,292,284,389,385,13.90440689,747.158761,118.89335,0.2445,0.261
E8H6-3,8329,300,273,379,395,14.28437018,753.710765,119.51836,0.256,0.2593
E8H6-4,8330,269,303,400,374,13.99948142,743.829262,122.26173,0.2775,0.2797
E8H7-1,8237,343,322,370,404,13.10939027,729.177816,121.1753,0.2776,0.2827
E8H7-2,8239,337,326,381,393,14.17142033,733.235493,120.66174,0.272,0.2777
E8H7-3,8244,339,319,393,381,13.35684383,740.62629,118.78776,0.2652,0.2708
E8H7-4,8242,350,310,394,380,13.90235936,738.908201,119.83628,0.2714,0.2762
E8H8-1,8147,380,375,361,413,13.17528419,720.099954,120.37984,0.2888,0.2993
E8H8-2,8137,397,368,372,402,13.52642762,721.753651,117.85935,0.2611,0.2653
E8H8-3,8145,397,360,414,360,13.68744184,728.158973,119.5756,0.2868,0.2897
E8H8-4,8143,381,378,385,389,13.82522731,717.269016,118.04448,0.2813,0.3005
E8H9-1,8046,426,430,381,393,13.32292702,713.120442,118.47102,0.2713,0.303
