Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M4H1-3,9193,54,42,193,194,27.62,851.591052,132.12599,0.2429,0.2501
M4H1-4,9193,52,44,193,194,29.49,852.813127,131.42967,0.2416,0.2528
M4H2-1,9096,95,98,190,197,26.85,842.052233,129.41024,0.238,0.2544
M4H2-2,9097,90,102,199,188,26.31,840.692496,129.33177,0.2392,0.2549
M4H2-3,9099,85,105,184,203,27.04,838.015889,129.9562,0.2437,0.2485
M4H2-4,9096,100,93,186,201,26.86,838.198644,128.87652,0.2408,0.2532
M4H3-1,9000,142,147,188,199,24.77,826.421217,128.71735,0.2441,0.2538
M4H3-2,9002,154,133,183,204,25.62,827.611773,128.9317,0.2469,0.2536
M4H3-3,9001,145,143,207,180,25.28,829.072031,129.39424,0.2434,0.2577
M4H3-4,9001,145,143,189,198,24.39,829.595181,127.95744,0.2457,0.2536
M4H4-1,8910,186,193,208,179,23.40,820.118812,126.69863,0.2516,0.2562
M4H4-2,8905,179,205,186,201,23.91,816.756073,126.98867,0.2466,0.2571
M4H4-3,8910,181,198,193,194,24.13,820.091591,128.56454,0.2534,0.2557
M4H4-4,8904,187,198,196,191,23.55,813.366146,126.11556,0.2425,0.2479
M4H5-1,8815,225,249,189,198,22.71,805.415903,124.58933,0.2486,0.2745
M4H5-2,8813,244,232,185,202,22.30,801.629597,124.30124,0.2411,0.2623
M4H5-3,8812,244,233,207,180,21.93,804.589489,124.51658,0.2446,0.2618
M4H5-4,8810,227,252,205,182,23.87,806.63835,123.08709,0.2444,0.2449
M4H6-1,8716,318,255,191,196,21.88,793.547162,124.01436,0.2513,0.2555
M4H6-2,8717,276,296,201,186,21.75,791.730888,123.69411,0.2495,0.2553
M4H6-3,8716,301,272,210,177,21.70,796.264692,123.89391,0.2454,0.2667
M4H6-4,8717,292,280,188,199,21.18,795.988653,122.98205,0.2377,0.2451
M4H7-1,8624,332,333,185,202,20.32,788.715789,122.20058,0.2536,0.2549
M4H7-2,8626,361,302,201,186,21.43,788.508294,122.37371,0.2674,0.27
M4H7-3,8624,346,319,187,200,21.35,777.781693,121.98513,0.2505,0.2707
M4H7-4,8620,325,344,175,212,20.56,781.538597,121.50003,0.2406,0.2598
M4H8-1,8526,367,396,206,181,19.35,768.269416,121.9678,0.2592,0.2628
M4H8-2,8535,389,365,200,187,19.32,773.874599,118.59133,0.2321,0.2347
M4H8-3,8530,401,358,181,206,19.83,774.956612,120.43562,0.2565,0.2614
M4H8-4,8528,369,392,193,194,19.49,768.28576,120.87868,0.2646,0.2861
M4H9-1,8446,405,438,205,182,19.54,754.175574,121.09538,0.26,0.262
M4H9-2,8443,426,420,201,186,18.56,760.593693,122.73662,0.2598,0.2648
M4H9-3,8429,418,442,194,193,18.84,759.1146,121.5821,0.2605,0.3051
M4H9-4,8432,432,425,193,194,19.02,763.742369,120.44718,0.2547,0.2807
M4H10-1,8350,475,464,204,183,18.65,744.331909,119.37945,0.2556,0.2777
M4H10-2,8347,476,466,213,174,18.54,752.557598,119.66717,0.2544,0.2791
M4H10-3,8343,472,474,194,193,18.32,754.68656,120.6586,0.2963,0.3003
M4H10-4,8348,446,495,196,191,18.82,759.221376,119.8583,0.2626,0.2779
M5H1-1,9097,48,48,242,241,25.67,839.987021,129.71666,0.2377,0.2441
M5H1-2,9097,51,45,245,238,25.32,838.315949,130.69009,0.2452,0.255
M5H1-3,9097,44,52,246,237,25.91,842.352453,129.35323,0.2398,0.248
M5H1-4,9097,59,37,230,253,25.93,837.992662,129.75935,0.2419,0.248
M5H2-1,9002,91,100,248,235,24.28,829.111572,128.61234,0.2426,0.255
M5H2-2,9000,96,97,252,231,23.84,829.280528,128.13698,0.2444,0.2667
M5H2-3,9001,94,98,236,247,24.60,827.164597,126.92245,0.2392,0.2557
M5H2-4,9000,92,101,244,239,24.83,824.860072,127.80803,0.2481,0.252
M5H3-1,8905,135,153,235,248,23.01,817.394999,126.21536,0.2452,0.2542
M5H3-2,8905,144,144,230,253,23.09,817.403547,127.72949,0.2475,0.2655
M5H3-3,8905,135,153,238,245,22.97,815.387845,125.6348,0.2375,0.2491
M5H3-4,8905,154,134,250,233,22.05,818.013616,126.49662,0.2487,0.2502
M5H4-1,8811,204,178,230,253,22.26,804.065213,125.87517,0.2673,0.27
M5H4-2,8812,206,175,247,236,22.25,808.170093,125.05121,0.2569,0.2701
M5H4-3,8810,180,203,225,258,21.17,804.746214,125.31977,0.2505,0.2549
M5H4-4,8809,197,187,238,245,21.21,805.933591,125.93991,0.2485,0.2604
M5H5-1,8718,239,236,229,254,20.42,796.051103,123.62673,0.2464,0.2583
M5H5-2,8716,257,220,242,241,21.26,799.519143,124.33965,0.2455,0.2649
M5H5-3,8722,235,236,248,235,21.47,801.619236,123.46164,0.2463,0.2633
M5H5-4,8713,238,242,229,254,20.55,798.447873,123.29474,0.2459,0.2519
M5H6-1,8628,284,281,245,238,18.96,787.056146,122.82321,0.2457,0.25
M5H6-2,8621,279,293,246,237,19.88,791.286724,122.87666,0.2427,0.2688
M5H6-3,8622,309,262,230,253,19.37,786.943083,123.3508,0.2509,0.2661
M5H6-4,8622,257,314,246,237,19.92,784.143373,123.01464,0.2475,0.2661
M5H7-1,8524,330,339,241,242,19.74,772.460906,122.55665,0.2769,0.2827
M5H7-2,8532,370,291,224,259,18.97,773.627144,121.98566,0.2511,0.2848
M5H7-3,8528,342,323,239,244,19.70,776.242102,120.91002,0.2543,0.2583
M5H7-4,8534,331,328,232,251,19.04,776.056495,123.73959,0.2708,0.2757
M5H8-1,8432,386,375,243,240,18.71,757.718618,120.62168,0.2622,0.2695
M5H8-2,8427,394,372,247,236,18.00,755.828767,121.66673,0.2715,0.2742
M5H8-3,8439,404,350,247,236,18.11,758.069615,119.08398,0.2394,0.2456
M5H8-4,8436,399,358,237,246,18.61,757.787939,120.2481,0.2617,0.2651
M5H9-1,8342,436,415,234,249,18.12,748.92596,120.10953,0.2776,0.2803
M5H9-2,8343,393,457,238,245,17.96,749.651152,119.16349,0.2493,0.2656
M5H9-3,8349,440,404,236,247,17.34,748.537222,123.21057,0.2886,0.2899
M5H9-4,8335,422,436,262,221,17.43,748.959656,118.29161,0.2432,0.2576
M5H10-1,8250,481,462,235,248,17.26,736.90218,118.62326,0.2742,0.2776
M5H10-2,8249,489,455,244,239,17.74,739.708353,118.50192,0.2693,0.2814
M5H10-3,8257,488,448,245,238,17.82,735.591493,119.70713,0.2816,0.2852
M5H10-4,8259,484,450,247,236,17.91,739.368948,119.02687,0.2769,0.2798
M6H1-1,9000,52,44,302,278,23.32,830.202129,127.5447,0.2455,0.2472
M6H1-2,9000,48,48,301,279,22.83,827.697362,127.47072,0.2386,0.249
M6H1-3,9000,42,54,282,298,23.29,830.986998,127.83176,0.24,0.2456
M6H1-4,9000,48,48,286,294,24.19,828.32175,127.48841,0.2428,0.2474
M6H2-1,8905,102,89,293,287,21.89,820.515507,126.61325,0.2414,0.2526
M6H2-2,8903,103,90,279,301,21.85,818.137881,126.89221,0.2429,0.2577
M6H2-3,8905,95,96,294,286,21.53,818.831391,126.80603,0.2441,0.2538
M6H2-4,8903,98,95,284,296,22.75,816.329308,126.74471,0.2451,0.2528
M6H3-1,8807,142,147,311,269,21.11,808.321382,125.19329,0.2443,0.2678
M6H3-2,8810,151,135,297,283,20.78,807.705381,124.60156,0.2468,0.256
M6H3-3,8806,131,159,305,275,20.98,806.500352,126.05041,0.2454,0.2542
M6H3-4,8806,137,153,284,296,20.77,814.169572,125.06007,0.2444,0.2583
M6H4-1,8714,184,198,274,306,20.03,796.731169,123.38546,0.2479,0.2686
M6H4-2,8710,191,195,276,304,19.64,794.546457,124.61369,0.2471,0.2616
M6H4-3,8710,197,189,305,275,19.64,795.04929,123.54665,0.244,0.2586
M6H4-4,8713,172,211,301,279,20.25,798.536761,124.08258,0.2433,0.2725
M6H5-1,8620,228,248,291,289,19.13,788.276987,121.834,0.2524,0.257
M6H5-2,8617,234,245,293,287,18.24,787.040438,123.44254,0.2667,0.2753
M6H5-3,8616,226,254,297,283,20.34,787.031864,122.94301,0.2745,0.275
M6H5-4,8620,249,227,271,309,19.06,787.63797,122.76835,0.2425,0.2672
M6H6-1,8521,292,283,292,288,18.38,777.683835,119.77227,0.2486,0.2625
M6H6-2,8520,303,273,276,304,18.94,771.532538,120.90363,0.2488,0.2784
M6H6-3,8525,274,297,295,285,18.19,772.984805,123.00712,0.2824,0.2849
M6H6-4,8533,265,298,296,284,18.16,780.059815,122.45763,0.2683,0.2864
M6H7-1,8426,337,333,293,287,17.75,763.756758,118.09083,0.2373,0.2428
M6H7-2,8431,333,332,271,309,18.19,766.326132,120.06133,0.2466,0.2522
M6H7-3,8427,347,322,281,299,16.92,766.407799,120.4718,0.249,0.2821
M6H7-4,8429,309,358,271,309,18.70,757.740499,117.82205,0.2389,0.254
M6H8-1,8337,371,388,281,299,17.90,746.305017,119.5908,0.2525,0.284
M6H8-2,8345,380,371,291,289,17.14,752.420526,119.63798,0.2681,0.2924
M6H8-3,8336,371,389,272,308,17.42,752.672661,121.7971,0.2787,0.2833
M6H8-4,8338,369,389,280,300,17.51,755.357754,123.09311,0.2708,0.275
M6H9-1,8242,461,393,279,301,16.44,740.428093,120.54099,0.2818,0.299
M6H9-2,8244,426,426,304,276,16.41,744.333899,119.0434,0.2582,0.2744
M6H9-3,8246,430,420,314,266,16.09,750.546376,123.79739,0.2845,0.2878
M6H9-4,8248,427,421,276,304,16.90,746.867968,117.83744,0.2646,0.2726
M6H10-1,8153,498,445,283,297,16.89,728.7723,118.23746,0.2632,0.2757
M6H10-2,8156,477,463,289,291,16.67,726.633992,117.86038,0.2827,0.2849
M6H10-3,8160,478,458,312,268,16.75,734.254502,118.53099,0.2802,0.282
