Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E2H1-3,9388,46,49,0,0,91,102,35.71133503,872.151558,136.39151,0.2429,0.2479
E2H1-4,9387,57,39,0,0,105,88,35.56144528,873.650777,136.33845,0.2415,0.2634
E2H2-1,9291,90,102,0,0,105,88,32.41163561,857.249927,133.20347,0.2409,0.2471
E2H2-2,9291,101,91,0,0,97,96,33.38837849,860.871607,132.34734,0.2439,0.2454
E2H2-3,9290,98,95,0,0,100,93,32.99478951,859.803173,132.39668,0.2415,0.251
E2H2-4,9291,90,102,0,0,107,86,32.21035321,860.706333,132.84652,0.2401,0.2562
E2H3-1,9194,148,141,0,0,96,97,29.8891088,850.89553,131.6087,0.2428,0.2505
E2H3-2,9194,156,133,0,0,86,107,30.32794025,848.647793,131.28407,0.2452,0.2485
E2H3-3,9195,138,150,0,0,91,102,30.84678679,852.387638,131.04483,0.2414,0.2468
E2H3-4,9197,159,127,0,0,94,99,28.73508871,846.959083,130.82409,0.2415,0.2476
E2H4-1,9105,198,180,0,0,102,91,28.43665618,836.544629,129.17944,0.2431,0.2479
E2H4-2,9100,192,191,0,0,96,97,28.53395168,837.12908,128.61746,0.241,0.258
E2H4-3,9100,192,191,0,0,84,109,28.47993962,835.818057,129.47847,0.2432,0.2466
E2H4-4,9100,195,188,0,0,90,103,29.56723353,835.881766,128.55051,0.2431,0.2512
E2H5-1,9004,240,239,0,0,86,107,27.28030162,818.935462,128.35617,0.2517,0.258
E2H5-2,9010,252,221,0,0,95,98,27.62299835,827.560659,127.45112,0.2433,0.2578
E2H5-3,9004,258,221,0,0,93,100,26.35333547,827.595592,127.54007,0.2527,0.2567
E2H5-4,9006,229,248,0,0,97,96,26.57073195,826.113413,127.99203,0.2447,0.2557
E2H6-1,8910,286,287,0,0,101,92,26.01962226,815.425651,125.68293,0.2429,0.2559
E2H6-2,8913,294,276,0,0,89,104,25.27180371,815.89352,126.33424,0.243,0.249
E2H6-3,8907,289,287,0,0,98,95,24.41939917,812.785203,125.61757,0.2392,0.2498
E2H6-4,8911,294,278,0,0,100,93,25.18937518,813.398973,126.43458,0.2457,0.2567
E2H7-1,8813,338,332,0,0,97,96,24.91649747,803.894063,124.88581,0.2501,0.2571
E2H7-2,8814,342,327,0,0,97,96,24.17712044,803.25973,125.72767,0.2573,0.2604
E2H7-3,8821,334,328,0,0,90,103,24.30891244,800.157407,124.59556,0.2478,0.2683
E2H7-4,8822,334,327,0,0,98,95,24.19960725,801.836682,125.37659,0.2445,0.2538
E2H8-1,8732,385,366,0,0,101,92,23.12763401,785.699972,123.22788,0.2435,0.2502
E2H8-2,8722,392,369,0,0,101,92,22.20902139,788.044942,124.18429,0.2467,0.2611
E2H8-3,8727,362,394,0,0,86,107,23.32365826,797.546723,124.74246,0.2525,0.2619
E2H8-4,8720,414,349,0,0,102,91,23.08357313,784.686152,124.78068,0.2495,0.2823
E2H9-1,8628,425,430,0,0,96,97,22.33817578,780.094871,123.47431,0.2521,0.2541
E2H9-2,8632,405,446,0,0,94,99,21.94763065,783.054735,123.43739,0.249,0.2615
E2H9-3,8629,413,441,0,0,101,92,20.98106071,776.547293,121.81422,0.2516,0.2563
